riddle	answer	explanation
Edificio hace matrimonio	casa	building=house, makes marriage=marries
Papel en rama	hoja	sheet, leave
Tengo el hábito que piso	suelo	I usually, floor
Recipiente contiene electricidad	pila	font, battery
Tela para iluminar	vela	sail, candle
Cómic en la camisa	manga	comic, sleeve
Cigarro limpio	puro	cigar, pure
Tañe prenda	toca	plays an instrument, kerchief
Atraviesa fruta seca	pasa	goes through (from the verb pasar), raisin (uva pasa)
Música y piedra	canto	singing, stone
Apariencia crea imágenes	pinta	appearance, (he/she/it) paints
Recipiente de lados iguales	cubo	bucket, cube
Divido nacimiento	parto	I split, birth
Color del árbol	naranja	like in English, orange is both a fruit and its colour
Animal de compañía levanta coches	gato	pet (cat), lifts cars (jack)
Árbol en tu mano	palma	tree, on the hand
Pan sin terminar se mide en kilogramos	masa	dough, mass
Piso ser vivo	planta	stock in a building, plant
Plato y dinero	pasta	pasta is slang for money in Spanish
Un dato: camino esquiable	pista	track, hint
Haga saltar recipiente	bote	bounce, jar
Diversos caminos	sendas	diverse, paths
tomes signos de puntuación	comas	you eat, commas
Me hace gracia el camino del agua	río	laugh, river
Plato para cubrir	tapa	tapas are small dishes, but the word originally means a cover
Pegamento donde se espera	cola	liquid glue, queu
Roedor mueve puntero	ratón	rodent, moves cursor
Toca el violín entre columnas	arco	arch of a violin, arch in architecture
El edificio es temporal o se vende allí	tienda	tent, shop
lugar donde se recogen rocas en un lápiz	mina	mine, pencil lead
valiente y violento	bravo	courageous, violent
detiene con el objetivo	para	stops, for
Divida la nobleza	corte	cut, court
Plato + entrega = animal	pan++da	bread + gives = panda
Colección inteligente	lista	list, smart
Animal quema	llama	llama, flame
Cima en un pájaro	pico	top (of mountain), beak (of bird)
A ti + pero = asuntos	te++mas	(to) you + but = issues
Pase a estar dentro, en medio	entre	enter, between
Francisco cambia el orden de las sílabas del vaso	Paco	Paco (a name), copa (wine glass, swap syllables)
Signo musical importante	clave	clef, key (as in important)
Capacidad de imaginar una pieza musical	fantasía	fantasy (imagination, piece of music)
Cable informático lleva gente	bus	bus (computer bus, people bus)
Hilo con sentido común	cuerda	string/rope, sensible
Animal guapo	mono	monkey, good-looking
Ir en barco por internet	navegar	sail, surf
encima de recipiente de papel	sobre	on top of, envelope
recipiente vuelva líquido	funda	case, may melt
horas de meteorología	tiempo	time, wheather
excluyas filósofo	Descartes	discard, Descartes
apuntes musicales	notas	notes (notetaking, musical)
Me fijo en el sonido de sílabas desordenadas	noto	note, tone (swap syllables)
Mediante + comportamiento ante alguien = acuerdo	con++trato	with + treatment = contract
A ti + pero = asuntos	te++mas	(to) you + but = issues
Mineral + cuando se va = donde se va	sal++ida	salt + departure = exit
Mediante + hilo = una palabra se adapta a otra	con++cuerda 	with + string/rope = concordances
Número + negación = árbol	pi++no	pi + no = pine
Obtenido animales	ganado	won, livestock
Diana refleja mucha luz	blanco	target, white
Fuente de luz + entregado = profesión	sol++dado	sun + given = soldier
Edificio ordena las sílabas de una tarea	torre	tower, swap syllables in reto (and double the r because it's no longer at the start of the word)
Perro + entregado = cerradura	can++dado	dog + given = padlock
Eva vuelve a volar	ave	"bird, ""Eva"" backwards"
Mineral + nota = dinero en una cuenta	sal++do	salt + C (the musical note) = balance
Alimento come hierba	pasta	pasta, grazes
Señalo alrededor de un cuadro	marco	I mark, frame
Vaso en un árbol	copa	wine glass, treetop
Mediante + real = actuación	con++cierto	with + true = concert
Celda e imagen	cuadro	square cell in a grid, painting
Instrumento agrede	viola	viola (instrument), rapes
nota + nota = posición	la++do	A + C (musical notes) = side
